formula,target
Hg2,0.3
GaRh2Zn,0.32
AgInPr2,0.37
Hg2TbY,0.33
NbO8Rb3,0.3
AcMg3,0.25
Au2Ba2O4,0.34
MnNi2Si,0.44
AlCo2Si2,0.27
NNi,0.36
CSn,0.22
CdNNi3,0.33
Er2Ga2Zn2,0.22
CaMg6Y,0.2
Ge4Re2,0.24
CB4Tb2,0.2
CePd7,0.35
CdMg3,-0.33
Ag2Dy2Sb4,0.28
AgNbO3,0.32
Ce2Ir6Si4,0.27
C4BLiN4,0.39
Mg2,0.29
As4MgRh6,0.36
Ir4U2,0.42
Al2Ti6,0.27
Cr2Na4O8,0.29
Ce2Si4,0.28
NTm,0.2
Fe3Ge,0.38
In8Zr4,0.27
Nb8Ni2Si2,0.28
Bi8Pt4,0.37
C2Nd,0.34
Cu2HgI4,0.24
H2Zr,0.7
Cu8Na6S8,0.3
Nd4Tl2,0.33
Bi2F8Li2,0.33
Ag2Bi2Sr2,0.25
Na4P20,0.27
K2Sb2Sn2,0.35
Sc,0.32
B2Co2Sm,0.32
Gd4O14Ru4,0.29
K4O14S4,0.29
Cu20Sn6,0.34
Si6V10,0.24
O12Rh4Tb4,0.34
BaLi2Mg2Si2,0.18
AsGa,0.3
Al2Si2Sr,0.23
Ac2GeLi,0.26
AgAuSc2,0.37
PaRu2Zn,0.41
HfIr2Mg,0.27
CoLu2Ru,0.3
LiMgP,0.56
CuInO3,0.36
As6Sr2,0.23
C2Cd2Ti4,0.29
N4,0.16
BPd3Tm,0.47
Cr3N2,0.25
C2Al2V4,0.19
Ca4Zn2,0.35
Ca5Mg,0.38
Os4U2,0.5
CdCu2GeSe4,0.32
Cr3P3Ti3,0.25
BaF6Ge,0.31
SnTe,0.46
Al12Tc,0.19
AsNiSm,0.31
Ni3V,0.3
Ru4Te8,0.24
Na4O8W2,0.27
NdSn3,0.41
CInSm3,0.37
GdIn,0.46
Cl4Cs4O16,0.34
Mg20Rh8,0.3
Ga2Sm,0.19
B2O6Yb2,0.32
C6N8,0.29
Au2InNd,0.41
Fe8O22Sr8,0.26
F2O2Ti2,0.19
CoIrTi2,0.35
CdInPd2,0.4
I6Mo2,0.25
AcNaTl2,0.34
Mg3Y,0.3
SiTc2V,0.32
LiMg2,0.2
As2CaMg2,0.21
Au2CdTb,0.39
LiMgPd2,0.31
DyHg2Sm,0.39
Ca2Mo2N6,0.31
As2Cu2Si2Zr2,0.26
Mo2Ti2,0.39
Bi2EuMg2,0.23
CrFe2Sn,0.47
MnSb,0.48
CaSe2Zn,0.33
BPt3Y,0.56
GaPPd5,0.31
Ca28N24Si4,0.22
CdHg2Ti,0.33
EuHg,0.27
Pd3Tl3Y3,0.34
YbZn,0.37
Se6Sm2Yb2,0.36
Cu2F2S2Sr2,0.28
TeZr,0.25
PuTe,0.33
Nd,0.26
Be12Cr,0.09
CrO3Sm,0.25
Nb6Os2,0.32
Fe2Sb4,0.22
Pb2Pd4Y4,0.34
Au2Pb4,0.4
BrNa,0.31
InMg,0.33
P4Pd2,0.27
Fe2Pd2,0.3
Cl16Si4,0.49
Si6W10,0.3
Al2Si2Te6,0.24
Sb4Se12Tl12,0.31
AlCo2Hf,0.28
F6K2Mn2,0.3
F6NiSr,0.34
Al67Mg41,0.32
F6K2Ni,0.24
BaBe2Te,0.8
BBaTa,-0.05
C2BaMgO6,0.31
In3Ni3Y3,0.32
LaO4U,0.42
O8Zr4,0.33
MoSe2,0.21
Cu4F4O2,0.43
Al2O6Y2,0.34
Ac2IrNi,0.39
HfInRh2,0.17
AuPm2Sn,0.39
LuPd2Zn,0.45
MgRh3,0.3
GaMn2Ti,0.29
Hf2Zn6,0.53
LiOsSm2,0.32
NV,0.28
GeHfPt,0.65
Hg3Ir,0.41
ClLi6PS5,0.72
DySi2,0.77
CrTe,0.44
CFeMg6,0.28
Al3Hf4,0.22
Ga4ScV2,0.23
AuTi3,0.44
Al18Co6Y4,0.22
Cu4Nb5Si4,0.27
CuO2Rh,0.38
GeLiNi2,0.37
O4Sr2V,0.27
HoPd3,0.33
Sm,0.24
Cu2In2S4,0.32
Cl6K2Pd,0.26
H4K2O8P2,0.24
NbRh3,0.25
Br8O4,0.27
Al2B2Ru3,0.31
CeRu3Si2,0.28
Br12Ga4,0.24
B4Li4O8,0.29
C2Ag4O6,0.36
C2Cu2N2S2,0.34
CaCu2Sn2,0.31
Tm2Zn4,0.25
N16Si12,0.25
H3BaLi,0.33
Bi4Fe4O12,0.31
O7Sc2Ti2,0.34
N2Ti4,0.26
Al7Cu2Y3,0.21
Al2CoIr,0.29
Au2CdTh,0.4
Ir2LiV,0.29
C4Ca2,0.35
Pt4Te6Tl2,0.23
LiNaPt,0.7
AgRhSm2,0.37
AuGaSc2,0.28
Li2Rh4Si4,0.31
Mo2Ru6,0.27
AuPd2Zn,0.51
RuTa3,0.36
Na3Tl,-0.4
Te4V5,0.25
MoP,0.64
As3Mn3Ru3,0.32
COs,0.42
BaCa3O4,0.23
Se8W4,0.21
Mg4N6Ta2,0.31
Al2Ge2Y,0.29
Ca6Hg4,0.33
O4Re2,0.32
P4Re3,0.21
DyMg3,0.19
Ga2Te4Zn,0.23
Pt6Sc6Sn6,0.3
K4Mn4O6,0.33
In2Ni3S2,0.3
Nb5Sb4,0.26
BaP4Pd2,0.33
AuHf2,0.31
Pt4Yb2,0.31
Li8O16S4,0.3
EuF2,0.31
C2H10N2O4,0.34
Cu3DyGa2,0.27
Cu2O3Sr,0.3
B4O6,0.19
La8S12,0.3
Li8O6Zr,0.22
Al2O8Ta2,0.27
Cu2Lu2Si2,0.16
LiRhY2,0.3
Er2InZn,0.29
AcInLi2,0.28
BeFe2V,0.29
Ag2NdTl,0.38
HfTc2Zr,0.29
Ag2TbTl,0.42
Mn6Sm2,0.32
GaHgYb2,0.2
C8H8,0.29
NNa3,0.22
CoCr,0.29
N12Sb4Zn8,0.29
Fe2Li12N8,0.17
Ca6Ga2N6,0.23
C12,0.19
P8Th6,0.27
Ge2Tb2,0.19
Fe4Rb2Se6,0.31
La4Si4,0.25
CInPt3,0.51
C2Co2Ho2,0.32
In4Rb,0.08
Fe3Ge3Hf3,0.3
AgZr2,0.32
Ag2Eu2Sb2,0.25
MnPdTe,0.39
Lu4Rh4Si4,0.29
Bi4Cl12,0.14
INa,0.27
CaF6Ti,0.29
Mn3Pt,0.26
B2Co2Y,0.21
B2CeCo3,0.29
O4Sn4,0.24
Au2Sn2Y2,0.27
Cu2KSe2,0.33
Mg5Si6,0.35
Au2Cs2Se2,0.48
F12Sm4,0.31
F4Li8O8V4,0.23
PdSe6Ta2,0.28
Hf2IrRe,0.29
AuSbYb2,0.24
AlMnRu2,0.26
MgYZn2,0.25
Ag2PrYb,0.3
Er2IrRu,0.3
Se2Ta4,0.23
Cd2,0.33
O3PdSc,0.42
Al3Na,0.31
Hf2OsPd,0.38
Ag2CdTb,0.44
Al2B2BaO7,0.34
Ag2O4Sr2,0.3
C2Nb4P2,0.24
NOs,0.62
NZr,0.28
Se4Tl3V,0.37
Hg6,0.27
CePt3,0.34
NiSbZn,0.35
Ag3Ca3P3,0.22
Pr3Rh3Sn3,0.34
Al14Mg13,0.53
NPt,0.41
O6Sn2Zn2,0.31
Rh4Si4,0.33
CaTe,0.23
DyPtSb,0.29
Ca12Ga2N10,0.32
InLi2Pd,0.36
OZn,0.33
Ag2Th4,0.42
BiTb,0.25
I2Na4O,0.25
BiNiZr,0.34
Ho2Sb2Zr2,0.29
CaP2Ru2,0.19
CoMnSb,0.29
Ca2O2,0.32
C4Cd2O8,0.28
Cu2HgI4,0.29
BaGe2Li2Mg2,0.16
I2Li2,0.34
BBiSr,6.02
Al8Ni4O16,0.32
Sb2Sc4,0.27
Co4O12Rb8,0.3
ErKO2,0.26
F6HfK2,0.3
Al2As4Na6,0.27
Mg2PmSm,0.24
AcTe2Tl,0.29
Hg4Pt,0.3
AlPtV,0.42
Bi4S8,0.28
Sb6Si2,0.42
Li4Mg2,0.29
Ca6Tl2,0.19
B2Nb2Ni2,0.25
BTc,0.25
Bi2O3,0.38
AsBaLi,0.23
Al6W3,0.51
AgCs2F4,0.33
La,0.24
Co3Si3Ti3,0.27
Li8Mn4O12,0.22
PtSnTh,0.33
Ge4Hf4Pt4,0.31
Ce2O2P2Ru2,0.27
Ba4Ge4Pt4,0.35
Ir4Sc2,0.3
ClNa,0.41
Cl4Li4,0.23
BeTe,0.21
Li12P28,0.29
B2Na2Pt6,0.39
Pt2ScSn,0.45
Au2Ba2Bi2,1.89
Al2CdSe4,0.26
Ca6O10Si2,0.3
La2O8Ta2,0.27
DyRu2Si2,0.27
Na2Nb2O6,0.31
Ag2O6Sb2,0.48
Fe2MnSi,0.32
Nb8O16,0.33
Cu4Yb2,0.3
O4Pt3,0.53
Cu4Dy4Pb4Se12,0.36
HgO6Sb2,0.38
CuF7Li4,0.37
CInSc3,0.17
AlReTi2,0.32
Cl4I2,0.25
RhZn3,0.34
AgEr2In,0.35
Ir4Pr2,0.31
AsCaNa,0.23
PbRe3,0.47
Hf2LiTc,0.35
Ag6Cu2,0.42
FeRh2Sn,0.34
F2O2Y2,0.33
CPrRh3,0.34
Ir2Mo6,0.33
Mg2Ni3Si,0.26
ErS,0.34
Cr4O16Pb4,0.28
P8Ti4,0.22
Cu2Te2,0.25
AgI,-0.65
Cl12P4,0.26
HCl,0.13
H2Ho,0.29
Bi4Mn2Sr2,0.27
K2Pt4S6,0.3
Pt4Ta2,0.35
NbS4Ti,0.21
GeMg2,0.17
Cs2F5ORbZr,0.17
C2CoY,0.26
CoN,0.41
C4Ca4O12,0.3
Cu2Si2Tm,0.24
Co2Si4Tb2,0.28
Cu2InLu,0.33
Br6Cd2Cs2,0.23
EuTe,0.22
CdO4U,0.33
Ag2N2O6,0.38
Bi2IO4Sm,0.27
Al4Ca2O8,0.25
F6NiPt,0.22
NdP2Ru2,0.21
Au60Mg20,0.37
Br4Ca2,0.32
Nb4O14Pb4,0.27
AsLiPd2,0.37
Ta8Zn16,0.25
CdSr2Tl,0.32
Re,0.28
CaLi2Si,0.19
Rb6Se6,0.28
Cu3Si,0.34
ErHoTl2,0.34
Ge3Pr,0.04
Al7La8MgO24,0.27
As4Ce4Rh4,0.31
Pr2,0.3
CoGa5Tm,0.28
Nb2Se4Ti,0.24
Ca2CoN2,0.27
Au2Ca2P2,0.3
N3TaTh,0.27
Li8O8Si2,0.23
CoCu2S4Sn,0.33
Au2Cu2Zn4,0.39
Si2Sr4,0.32
CuF6K2Na,0.17
Ca4Li4Si8,0.21
Ir4Yb2,0.35
O3SrV,0.4
In2Rb2Te4,0.35
Mg4O16Sb8,0.32
Sb4V6,0.41
Ga6Zr4,0.25
BLuPd3,0.47
Cu2Ge2Y,0.27
CuO2Sc,0.35
CaF2,0.21
Br8Sr4,0.3
As2Ni2Sm,0.32
Bi2Ca4,0.21
Al2O8P2,0.07
C2B13,0.21
CuNaO2,0.17
NiSbTi,0.5
Os2PrSi2,0.25
BaO3Ti,0.23
Cl2N2Zr2,0.28
H4Cl2Hg2N2,0.36
CoCu2GeS4,0.3
C2,0.07
Cd2Te2,0.33
In4SbTe3,0.3
HoKO2,0.24
LiMgPdSn,0.36
Al2Nb6,0.45
K2N6,0.26
Au2V6,0.33
AlCa2Li,0.22
Be2CuRh,0.32
LiRuSm2,0.33
AlBeIr2,0.28
Ac2GePd,0.37
InRh2Sc,0.29
BCaO3,0.34
Ir3Se8,0.23
Ge2Se4,0.09
B2Ca,0.16
BPbSc3,0.18
CdPPt5,0.35
TcTi,0.34
Cu2GeTe4Zn,0.3
Co5Sm,0.37
RbS2Ti,0.25
PY,0.13
Co2O2,0.42
Cu2MnSe4Sn,0.34
Er2Ge2,0.23
I6U2,0.23
Rh4Sb8,0.26
Ce,0.13
Cu6N10Sr12,0.31
B12Li4O20,0.26
Li10N8Re2,0.24
ErOs2Si2,0.29
CaCo2Ge2,0.24
N4Na4O12,0.29
Co2GeTi,0.31
CNNaO,0.37
O8Pd6Tl2,0.38
Mg4O8Si2,0.23
Li8,0.28
Cl6Cs2LiY,0.3
CrNaS2,0.25
C4N8Pb4,0.48
Ba4K4O16P4,0.29
Ag2Sn2Tm2,0.25
Ge2Ho2O7,0.34
LiO2Zn,0.3
BaO3Ta,0.27
Cu4O16Sb8,0.36
Mn11Pd21,0.33
Li6S2Sb,0.18
P2SrZn2,0.22
F10P2,0.29
LiLuPt2,0.24
AlCrRu2,0.29
DyRh2Zn,0.35
HfRu2Sn,0.27
PdSnTi,0.23
PtSiV,0.39
HTc3,0.54
Bi2Te2U2,0.26
Al3Ga,0.71
N8Si6,0.28
CuO2Pt,0.45
Ag2Ca2O4,0.28
Al8Tb8,0.37
U,0.36
Hf6N2Zn2,0.25
K4N4Zn4,0.38
CdMg3,0.33
Ca4Cd8,0.26
DyTl,0.35
Co2KS2,0.21
B2Er2Ni8,0.29
Nb6Sn2,0.44
NiZn,0.44
Al6Pd10,0.36
Ir4Lu2,0.3
Nb4Pd4Si4,0.32
Hf2Mo4,0.35
NiP3Si2,0.27
CSc2,0.41
Ag6Sr9,0.3
Ga8Li24N16,0.16
Cr6Os2,0.34
Ge3Pd6,0.38
BRh3Sm,0.3
Ga2Li2Te4,0.3
N2SbU2,0.29
Cu4Te6Ti2,0.24
Cl2Mg,0.26
Br12Cu4K8,0.26
As4Rb4Si2,0.32
Si2Tm,0.59
K2Nb2S4,0.25
Na2Nb2Se4,0.24
As3Ru3Zr3,0.31
EuP2Rh2,0.27
Mg2PrY,0.26
Ni2Re6,0.27
Cd3Pr,0.33
FeSiTc2,0.32
Al6Pa2,0.29
AgIrPm2,0.39
AgPm2Si,0.33
NbOsTa2,0.31
InNa3,0.39
MnOsTa2,0.38
HgPm2Si,0.35
N3U2,0.3
AlCu2Pa,0.37
Br2Re2,0.32
IrO3Rb,0.16
Ir2LiNb,0.34
O3PbSn,0.31
CoSiTi2,0.31
NbNi3,0.44
Lu2Si2,0.21
N2Sr3,0.05
PSbSr3,0.41
HfHgO3,0.36
Fe2Ho2Si2,0.24
Cl2Nd2Te2,0.29
LuPtSb,0.29
KMg6Nb,0.24
Ca2Zn6,0.34
Cu2ZnZr,0.34
Au2Ca2,0.33
Se6Zr2,0.26
Ba2Ni2O4,0.35
As2Mn2V2,0.28
Li2Ru2Sn8,0.22
ErSi2,1.04
Sb12Ti20,0.32
SiTi,0.36
C4O8Pb2,0.26
Nb6Pt2,0.33
I6Li2Sc2,0.22
Cl2Ho2O2,0.29
BaPtSn3,0.3
Co3Sn3Zr3,0.29
F2Pb,0.36
NbRu,0.4
Al2N2Ti4,0.2
Ir2Pb2,0.29
GdP,0.22
Co2,0.29
O8Zr4,0.29
BrTl,0.33
Ga2Zr4,0.31
Cu6Sn2,0.34
Cu4Sn2Te6,0.31
Ge6Ta3,0.21
Ag2Si2Sr,0.21
F6Pu2,0.37
LiPr2Ru,0.37
Ac2GaLi,0.25
Au2PmSn,0.4
LuRh2Yb,0.32
CdPd2Tm,0.39
GaO3Zn,0.41
AgHo2Ir,0.35
AgSi3,0.51
Hg2SmTm,0.37
Ge4Ni2Sm2,0.3
AuGa3,0.72
Ga3Mg3Nd3,0.32
LiS2Ti,0.21
CrCu2In,0.21
NPr,0.86
Br4CaCs2,0.32
CrTe4Ti2,0.19
Mn4N8Sr4,0.36
CaZn,-1.61
S2Zr,0.21
Cu3N,1.81
HgMg,0.5
O6Sn2Zn2,0.39
S12Sn8,0.23
Au2Sn2,0.38
NU,0.34
Fe3O7P,0.34
Cd2O8W2,0.34
Mn2Sn4,0.2
Hf4Sn4,0.42
Fe2Si2Tb2,0.25
Bi2Mn2,0.38
H8Ga2Na2,0.29
Bi4Pd4Te4,0.34
NaO6W2,0.28
Mn4Te4,0.29
Bi2ClEuO4,0.34
FeS4V2,0.18
CTi,0.22
BrIrOs2,0.68
Bi4O14Tb4,0.42
Ca2MgTl,0.26
AuRhZn2,-0.83
GeTc2V,0.33
GePtV,0.47
IrTi2W,0.3
ErNdTl2,0.33
Co2LuTm,0.28
Na4,0.41
Cl6FRb2S,0.06
Co2Te4,0.27
CoGaTi2,0.32
B2Tc2,0.25
MnSc2Sn,0.22
N2W,0.24
Ag17Mg54,0.18
CoNa3,-0.06
C2Re,0.44
CrN2,0.55
Ir4P8,0.23
Co3V,0.27
CFe2Lu2Si2,0.25
Li2N6Sn4,0.26
N2Na2Zn2,0.29
Cr2Li2N4,0.26
Nd2Rb2Te8,0.25
CdCu2Zr,0.31
Mg2Pd6,0.36
MgNd,0.24
As16Ge8,0.19
B2Co3Dy,0.26
MoP,0.25
La4Lu4O12,0.29
InS2Tl,0.29
Cd4O8,0.34
Hg2Pd2,0.36
Ba2NbO,-0.15
Ba2F8Ni2,0.3
F6FeNaRb2,0.27
Cl2Mg,0.18
Li2Pd,0.31
LiS2V,0.48
H,0.25
Au2Tl4,0.37
CoTi,0.33
HoPd,0.35
AgDy2Ir,0.36
Al6Sm2,0.24
F6KRb2Sc,0.22
FeTe2Zr6,0.28
Hf2IrRu,-0.27
F2Sr,0.29
Nb2S4,0.24
LiMn3O6,0.27
AlCu3,0.5
CeSe,0.21
Ca3N2,0.2
Fe2GeMn,0.39
LuP,0.21
Mg,0.47
Cu2Ga2O4,0.33
Nb3Si6,0.18
AuCrTe4,0.17
Cu2Sc2Sn2,0.23
O2Pd2,0.4
BaS,0.25
Pd6Sc6Sn6,0.29
Fe4Ho2,0.35
Ru4S8,0.15
Co4S8,0.25
CuNd2O4,0.47
B6Y,0.3
CuGaI4,0.13
P2Pd3S8,0.2
In10Sb9Te,0.35
Al4O12Y4,0.25
As2Mn2Sr,0.26
Pd2ScSn,0.38
Ir4O16Sr8,0.34
O24Si12,0.28
Ag3As3Ca3,0.23
Er4Ni4,0.37
C6Al2V8,0.2
N3Rb,0.32
C3Al4,0.24
Ga2Pr,0.19
Bi2O8Zr2,0.31
Pd8S2,0.38
HgPbPr2,0.35
O3Pa,0.39
C2B2Nd4,0.25
Pt6Th2,0.39
I6V2,0.3
Li2PbYb,0.17
BeCo2V,0.37
Ge3Ru3Sc3,0.27
Pt3Tc,0.29
In2,0.54
Pt3Rh,0.34
LuMg2Nd,0.25
HfPt2Zn,0.43
CFe2Ho2Si2,0.23
IrTi,0.34
Mn8Ta4,0.34
Mg4Pt2Si2,0.25
CHo2,0.29
TiU2,0.15
C4B4Dy2,0.24
Co2GaMn,0.32
Ho3In3Pt3,0.35
Cu2Se,0.53
Al16O24,0.28
Cl6Nd2,0.28
Ti2Zn32,0.34
Mg2O10Ti4,0.31
HgNa4P2,0.18
CeMn2Si2,0.25
NdRh3Si2,0.26
Be2Br4,-0.16
Ca4Pd4Sn4,0.33
NiSn3Sr,0.3
PdSn3Sr,0.36
O6ThTi2,0.32
C4Ba4O12,0.31
I2Np2O2,0.13
Co2RbS2,0.24
C16Si16,0.16
C4B24Mg2,0.14
GaIrLi2,0.47
IrSe2Sn,0.7
Co4Tm2,0.37
P2Ti2,0.38
Co4Sb8,0.23
Ag2F4Li2,0.39
Li4O6Pd2,0.27
GePdPm2,0.39
Mg2PdPt,0.48
MgSc2Tl,0.31
PbPm3,0.29
S2Sn2,0.26
BeO3Ta,0.27
Al2ErHo,0.27
GaLiLu2,0.28
NTi3,1.81
NiTi3,0.47
Cu2HgZr,0.3
Ba2Cu2O4,0.31
O2Sn2,0.26
B6S12Sr3,0.26
Se2Si2U2,0.21
Ni2Si6Y2,0.21
Cu4S6Sn2,0.32
SeZn,0.3
MgTe,0.33
Ge2Hf2Te2,0.23
As2GeTe4,0.23
Li4S6U2,0.26
Rh2Te2,0.38
PtSbTm,0.29
Mn6P3,0.28
NbS2,1.27
AlIr,0.28
MgO6Sr2W,0.26
Ba2Co2S4,0.27
B2Hf,0.13
C2Na4O6,-1.31
Cu2Pb2Y2,0.23
Al3Er,0.18
In4Se4,0.23
Cr8Te12,0.24
AuGa2,0.42
Al15Cu18Mg6,0.26
Cd2Mg6,0.28
Co2GaTa,0.31
Ga4Zr2,0.24
RhSc6Te2,0.5
CoSbTa,0.33
O8Tc4,0.31
Ba4Ni2O12W2,0.27
Cr2Ge2Te6,0.22
Pd3Ti,0.29
H4CaCs2,-0.47
B2Ni8Y2,0.29
Fe2LiP2,0.29
O20Zr10,0.28
Ag2S4Yb2,0.35
NbRu2Zn,0.34
CrMnV2,0.31
AuPm2Si,0.38
Cd3Sm,0.32
BeOs2V,0.32
CoRuSc2,0.3
Mg2SmY,0.27
Ca6N6V2,0.26
MoOsV2,0.28
K3Tl,0.46
CaRb3,0.34
Mn3S,0.36
Dy4Ge4Mg2,0.17
AgSm2Zn,0.31
PmRh2Tb,0.39
Cu8Se4,0.34
HoInPt4,0.35
Ca2Mg6,0.35
CRu3Zr,0.25
As2Te2Ti2,0.18
NY,0.78
Ag4Ca2,0.36
Pd4Sr2,0.32
Ge2Ho2,0.23
As3Mn3Rh3,0.37
F8Pb2Pd2,0.37
In3U,0.26
Pd2Sn8,0.32
Cl8Zn4,0.21
BiLi3,0.2
Mg20Pd8,0.33
H2Dy,0.25
H4,0.29
Bi4K12Se12,0.27
Al4Ca12N12,0.28
BiNiSc,0.25
Ag4S2,0.26
InPd2Sc,0.36
Ge2Se2U2,0.22
Ag2Er2S4,0.33
Al8Ni4O16,0.27
Ba4Bi4O12,0.31
CeNi2P2,0.25
SiW3,1.04
NiTi,0.42
FeI2,0.27
K2Mg2Sb2,0.24
F2Gd2O2,0.28
AuCuO2,0.43
N4Nb4O4,0.35
Ca8O16Si4,0.31
CoMnO4,0.29
LaLi3P2,0.19
Be26Mg2,0.13
DyGaRh2,0.37
Pd3Pm,0.3
W,0.7
AgMg2Rh,0.38
HfTaTc2,0.31
Cd2PtRh,0.36
InIr2Sc,0.31
Al3Tc,0.25
AlOs,0.29
InRh,-1.55
BiO3Zn,0.33
Pt6Ti2,0.33
Ag3Na,0.35
I4InLiO12,0.22
Rh6Se2,-8.24
La3Li,0.43
Cu2O4Pd2,0.42
BErRh3,0.36
As2Te2U2,0.3
CdGeO3,0.29
IrO3Zn,0.39
B2Co8Y2,0.34
SeTl,0.48
Cu5Nd,0.38
CuHg2Ti,0.42
Ca2Ir2Sn4,0.29
HoMg,0.34
Rb,-0.24
Cu2GeHgSe4,0.28
HgTe,0.52
CeRh3,0.3
AuZn,0.42
Al4Ba,0.22
Ag2Dy2Sn2,0.25
F4Sn,0.17
AgCe,0.21
F4K2Mg,0.27
As2Cu6S8,0.3
Ba2O6Te2,0.28
Bi2ClNdO4,0.31
Ag2Nd,0.36
Br6K2Sn,0.25
Br2Hf2N2,0.3
Se2Ti2,0.24
As2CaCo2,0.26
Bi2Pd,0.39
Ru4Th2,0.48
BClSe2,0.55
Nb2S2,0.27
Ga2Nb2O8,0.34
Cu2P2Zr,0.3
O4Ru2,0.34
Au2LaPb,0.4
CdSc2Tc,0.37
Ho2LiPt,0.32
Li12Sb6,0.21
AlLiLu2,0.26
Cd2HoLu,0.36
C3Lu2Mo2,0.27
AlLa2Li,0.28
O3ReSb,0.46
Au6O2,0.5
CsO3Sn,0.39
O12Ta4,0.33
CeP12Ru4,0.23
DySb,0.25
SnTi2,-0.66
MgO,0.52
Ba3BiSb,0.27
Cl4Cu2F4K4,0.26
CaF6Zr,0.32
Mg4N8Sn4,0.28
AgGa,0.57
Cs2,0.33
S2V2,0.25
Cr4Ti2,0.33
B6Ni3Yb2,0.2
Cd3Te3,0.29
Ge2Ni4,0.39
Hg3Zr,0.43
Al2Pd,0.38
Ag2NiO2,0.39
Be,0.22
As2EuMn2,0.23
Ga2Gd2,0.25
Co2FeIn,0.41
NiSnU,0.3
Co2FeGe,0.32
In4Pd8,0.38
Cl4MnRb2,0.28
ITl,0.52
I2Mg,0.28
Ca8Si4,0.25
Fe2Sb2,0.26
O8Ti4,0.28
H8O8Sr4,0.27
AsHo,0.21
Mg2P4Si2,0.29
In3Nd3Rh3,0.35
Si,0.27
O14Sm4Zr4,0.27
Ge4Mg4Yb4,0.16
Ag2Br2O2Pb2,0.4
Be12W,0.1
CoSbTi,0.27
B8Mn8,0.35
TiVW,0.61
Cl3LiTi,0.3
N2O2P2,0.12
Mn2O6Ti,0.2
O18Ti12,0.32
Ac2AgIr,0.42
PdPm2Sn,0.4
BiTeTh2,0.26
Hg2PrYb,0.3
Br6Lu2,0.24
GaHo2Li,0.27
Ir6Re2,0.31
Pt2Zn2,0.34
RuTa2V,0.34
Ag2O4Pt2,0.37
BaTe,0.24
GeMgO3,0.25
BaO3Ru,0.26
Pd2Ti,0.15
Bi2K2Mg2,0.27
C12Li,0.19
Mo2N6Zn4,0.27
Al3Cu2,0.31
AlCu2Hf,0.33
Rh2V2,0.32
CoCu2Sn,0.4
DyLiSe2,0.23
Al9BaFe2,0.26
In3Pt3Y3,0.35
Ge4Mn4Zr4,0.21
Ga2MnSe4,0.3
Co6Se8,0.32
O4Pb2,0.33
Ba2CaIrO6,0.28
Ru2Sb4,0.23
CRh3Y,0.32
Dy3In3Pt3,0.35
H2Li2O2,0.25
DyIr3,0.31
CeRe4Si2,0.25
AuGeLi2,0.17
H16B4Li4,0.32
Ca2Cu2Ga,0.29
Cu4O6Sr2,0.3
Ba2Nb2S6,0.38
F2Gd2S2,0.26
Cu3NbSe4,0.22
CoGa2S4,0.24
BaCu2S2,0.31
Na12P44,0.3
Si16Ti20,0.23
Al2F8Rb2,0.22
As2O2Y2Zn2,0.3
Lu2O8Ta2,0.31
Ga4O8Ti,0.3
F6K2Mn,-0.03
Co5Nd,0.38
Al4Au8,0.37
Al6Pt4,0.46
Si2Ti,0.2
Ca2CuO3,0.27
Cl2Co,0.31
CuNa2O2,0.34
Ba3O7Ti2,0.27
Cd2P8,0.29
InMnRh2,0.38
Cd3Na,0.43
LiPt2Sc,0.24
LiSc2Tc,0.32
FeP4Si4,0.19
GaPd2Zr,0.59
Al2Lu6,0.26
NaO3Pd,0.26
MgSm5,0.3
Br3CsIn,0.33
CY,0.65
B2Sm,0.18
Ba2BrN,0.29
Ce2Ga2Ge2,0.26
CEr2Fe2Si2,0.25
CoGa5Y,0.19
As4Cd6,0.42
Ir4Te8,0.32
Rh3Ti,0.26
Ge3Mn3Tm3,0.19
Ge4Pr2,0.4
F8Pd2,0.29
Cd2Li2,0.31
Mg16Pd8,0.32
BInSc3,0.22
Nb2Pb2S4,0.33
Ce2Ni2,0.41
Br6Pr2,0.28
Co5Y,0.36
Ba4O16S4,0.34
O16Pb4S4,0.3
B2O6Tl6,0.28
Be12F24,-0.04
Te2Ti2,0.25
Al3Zr,0.24
Al12Fe2,0.28
BrPbTa,0.63
H2K2S2,0.28
Li8O24Ti10,0.27
Sb2SrZn2,0.31
CrS2,0.25
Na4O6Sn4,0.31
O3U,0.39
Na12S8Zn2,0.3
Sc2Zn6,0.36
OsTa2W,0.29
MgPd2Zr,0.37
LiReZr2,0.36
AgCa2Sn,0.42
ReTcTi2,0.32
SmTmZn2,0.34
Co6Na2,-14.91
Au2Ni6,0.38
NaS2Sc,0.24
B12W,0.29
AsSm,-0.11
As2Ca4,0.17
HfKMg6,0.28
Cr2Mg4N6,0.33
CaTe,0.52
Ho2Si2,0.21
Co9S8,0.29
Ga2HgTe4,0.24
Si8,0.19
Y2Zn17,0.24
Al4Sm,0.42
Fe2SnTi,0.26
Cl4K2Pd,0.28
Cl4I4Pb4,0.28
H8Mg4,0.31
Al4La2,0.19
CdCl4Rb2,0.34
GeLi2Pd,0.54
AgInLi2,0.26
Co2Er2Si4,0.29
O3Pm2,0.35
Ga4S4,0.24
Cl7Cs3Mg2,0.29
Al10Mo2,0.21
GeInRe,0.36
BaO3Ti,0.28
Eu6O9,0.32
Li10P6Si2,0.2
Cd2Sb2Sr,0.28
F4O4Ti4,0.32
